Ensembl.ID,Gene.name
ENSG00000033867.16_5,SLC4A7
ENSG00000034053.14_7,APBA2
ENSG00000034152.19_6,MAP2K3
ENSG00000034239.11_4,EFCAB1
ENSG00000034510.6_3,TMSB10
ENSG00000034533.11_6,ASTE1
ENSG00000034677.13_5,RNF19A
ENSG00000034693.15_4,PEX3
ENSG00000034713.8_3,GABARAPL2
ENSG00000034971.17_5,MYOC
ENSG00000035115.22_7,SH3YL1
ENSG00000035141.8_5,FAM136A
ENSG00000035403.17_3,VCL
ENSG00000035499.13_4,DEPDC1B
ENSG00000035664.11_6,DAPK2
ENSG00000035681.9_6,NSMAF
ENSG00000035687.10_5,ADSS2
ENSG00000035720.8_3,STAP1
ENSG00000035862.12_5,TIMP2
ENSG00000035928.16_5,RFC1
ENSG00000036054.13_4,TBC1D23
ENSG00000036257.13_5,CUL3
ENSG00000036448.10_4,MYOM2
ENSG00000036473.8_5,OTC
ENSG00000036530.9_3,CYP46A1
ENSG00000036549.13_6,ZZZ3
ENSG00000036565.15_6,SLC18A1
ENSG00000036672.16_5,USP2
ENSG00000036828.16_5,CASR
ENSG00000037042.9_3,TUBG2
ENSG00000037241.7_5,RPL26L1
ENSG00000037280.16_6,FLT4
ENSG00000037474.15_4,NSUN2
ENSG00000037637.11_5,FBXO42
ENSG00000037749.12_4,MFAP3
ENSG00000037757.14_4,MRI1
ENSG00000037897.17_7,METTL1
ENSG00000037965.6_4,HOXC8
ENSG00000038002.9_4,AGA
ENSG00000038210.14_6,PI4K2B
ENSG00000038219.13_4,BOD1L1
ENSG00000038274.17_4,MAT2B
ENSG00000038295.8_5,TLL1
ENSG00000038358.15_4,EDC4
ENSG00000038382.20_4,TRIO
ENSG00000038427.16_5,VCAN
ENSG00000038532.16_7,CLEC16A
ENSG00000038945.15_7,MSR1
ENSG00000039068.19_6,CDH1
ENSG00000039123.16_5,MTREX
ENSG00000039139.9_4,DNAH5
ENSG00000039319.17_5,ZFYVE16
ENSG00000039523.20_7,RIPOR1
ENSG00000039537.13_4,C6
ENSG00000039560.14_6,RAI14
ENSG00000039600.11_4,SOX30
ENSG00000039650.12_6,PNKP
ENSG00000039987.7_5,BEST2
ENSG00000040199.18_7,PHLPP2
ENSG00000040275.17_7,SPDL1
ENSG00000040341.18_8,STAU2
ENSG00000040487.13_5,SLC66A1
ENSG00000040531.15_5,CTNS
ENSG00000040608.14_6,RTN4R
ENSG00000040633.13_5,PHF23
ENSG00000040731.10_5,CDH10
ENSG00000040933.15_3,INPP4A
ENSG00000041353.10_5,RAB27B
ENSG00000041357.16_4,PSMA4
ENSG00000041515.16_3,MYO16
ENSG00000041802.11_5,LSG1
ENSG00000041880.14_4,PARP3
ENSG00000041982.16_5,TNC
ENSG00000041988.15_5,THAP3
ENSG00000042062.13_8,RIPOR3
ENSG00000042088.14_7,TDP1
ENSG00000042286.15_4,AIFM2
ENSG00000042304.11_7,C2orf83
ENSG00000042317.17_8,SPATA7
ENSG00000042429.12_4,MED17
ENSG00000042445.14_6,RETSAT
ENSG00000042493.16_4,CAPG
ENSG00000042753.11_3,AP2S1
ENSG00000042781.14_5,USH2A
ENSG00000042813.8_7,ZPBP
ENSG00000042832.12_3,TG
ENSG00000042980.13_3,ADAM28
ENSG00000043039.7_3,BARX2
ENSG00000043093.15_8,DCUN1D1
ENSG00000043143.20_3,JADE2
ENSG00000043355.12_4,ZIC2
ENSG00000043462.12_6,LCP2
ENSG00000043514.17_6,TRIT1
ENSG00000043591.6_4,ADRB1
ENSG00000044012.4_3,GUCA2B
ENSG00000044090.9_3,CUL7
ENSG00000044115.21_7,CTNNA1
ENSG00000044446.12_4,PHKA2
ENSG00000044459.15_4,CNTLN
ENSG00000044524.11_3,EPHA3
ENSG00000044574.8_4,HSPA5
ENSG00000046604.13_3,DSG2
ENSG00000046647.13_6,GEMIN8
ENSG00000046651.15_5,OFD1
ENSG00000046653.15_5,GPM6B
ENSG00000046774.10_5,MAGEC2
ENSG00000046889.19_4,PREX2
ENSG00000047056.16_5,WDR37
ENSG00000047188.16_3,YTHDC2
ENSG00000047230.15_6,CTPS2
ENSG00000047249.18_7,ATP6V1H
ENSG00000047315.16_4,POLR2B
ENSG00000047346.12_6,FAM214A
ENSG00000047365.12_5,ARAP2
ENSG00000047410.14_4,TPR
ENSG00000047457.14_5,CP
ENSG00000047578.13_7,KATNIP
ENSG00000047579.19_4,DTNBP1
ENSG00000047597.7_5,XK
ENSG00000047617.15_6,ANO2
ENSG00000047621.12_5,C12orf4
ENSG00000047634.15_5,SCML1
ENSG00000047644.18_3,WWC3
ENSG00000047648.23_7,ARHGAP6
ENSG00000047662.5_4,FAM184B
ENSG00000047849.21_8,MAP4
ENSG00000047932.14_6,GOPC
ENSG00000047936.10_4,ROS1
ENSG00000048028.11_5,USP28
ENSG00000048052.21_6,HDAC9
ENSG00000048140.18_6,TSPAN17
ENSG00000048162.20_4,NOP16
ENSG00000048342.16_8,CC2D2A
ENSG00000048392.12_3,RRM2B
ENSG00000048405.10_7,ZNF800
ENSG00000048462.11_5,TNFRSF17
ENSG00000048471.14_4,SNX29
ENSG00000048540.15_8,LMO3
ENSG00000048544.6_4,MRPS10
ENSG00000048545.14_4,GUCA1A
ENSG00000048649.13_5,RSF1
ENSG00000048707.15_8,VPS13D
ENSG00000048740.18_5,CELF2
ENSG00000048828.17_4,FAM120A
ENSG00000048991.16_4,R3HDM1
ENSG00000049089.15_8,COL9A2
ENSG00000049130.16_6,KITLG
ENSG00000049167.14_7,ERCC8
ENSG00000049192.15_5,ADAMTS6
ENSG00000049239.12_3,H6PD
ENSG00000049245.13_4,VAMP3
ENSG00000049246.14_2,PER3
ENSG00000049247.13_3,UTS2
ENSG00000049249.8_4,TNFRSF9
ENSG00000049283.18_7,EPN3
ENSG00000049323.16_5,LTBP1
ENSG00000049449.9_4,RCN1
ENSG00000049540.17_8,ELN
ENSG00000049541.11_5,RFC2
ENSG00000049618.23_6,ARID1B
ENSG00000049656.14_4,CLPTM1L
ENSG00000049759.18_6,NEDD4L
ENSG00000049768.16_6,FOXP3
ENSG00000049769.14_6,PPP1R3F
ENSG00000049860.14_4,HEXB
ENSG00000049883.15_4,PTCD2
ENSG00000050030.15_8,NEXMIF
ENSG00000050130.18_5,JKAMP
ENSG00000050165.18_4,DKK3
ENSG00000050327.15_5,ARHGEF5
ENSG00000050344.9_3,NFE2L3
ENSG00000050393.11_6,MCUR1
ENSG00000050405.13_6,LIMA1
ENSG00000050426.16_7,LETMD1
ENSG00000050438.17_3,SLC4A8
ENSG00000050555.18_5,LAMC3
ENSG00000050628.20_4,PTGER3
ENSG00000050730.16_6,TNIP3
ENSG00000050748.17_8,MAPK9
ENSG00000050767.17_6,COL23A1
ENSG00000050820.17_9,BCAR1
ENSG00000051009.10_4,FAM160A2
ENSG00000051108.15_7,HERPUD1
ENSG00000051128.19_6,HOMER3
ENSG00000051180.17_4,RAD51
ENSG00000051341.14_5,POLQ
ENSG00000051382.9_3,PIK3CB
ENSG00000051523.11_5,CYBA
ENSG00000051596.9_4,THOC3
ENSG00000051620.11_5,HEBP2
ENSG00000051825.15_7,MPHOSPH9
ENSG00000052126.14_5,PLEKHA5
ENSG00000052344.16_4,PRSS8
ENSG00000052723.11_4,SIKE1
ENSG00000052749.14_8,RRP12
ENSG00000052795.13_4,FNIP2
ENSG00000052802.13_4,MSMO1
ENSG00000052841.15_4,TTC17
ENSG00000052850.8_6,ALX4
ENSG00000053108.17_5,FSTL4
ENSG00000053254.15_7,FOXN3
ENSG00000053328.8_3,METTL24
ENSG00000053371.12_7,AKR7A2
ENSG00000053372.5_4,MRTO4
ENSG00000053438.11_5,NNAT
ENSG00000053501.13_4,USE1
ENSG00000053524.12_5,MCF2L2
ENSG00000053702.15_4,NRIP2
ENSG00000053747.16_4,LAMA3
ENSG00000053770.12_4,AP5M1
ENSG00000053900.10_2,ANAPC4
ENSG00000053918.18_8,KCNQ1
ENSG00000054116.12_4,TRAPPC3
ENSG00000054118.15_6,THRAP3
ENSG00000054148.18_4,PHPT1
ENSG00000054179.12_5,ENTPD2
ENSG00000054219.11_5,LY75
ENSG00000054267.22_6,ARID4B
ENSG00000054277.14_5,OPN3
ENSG00000054282.16_3,SDCCAG8
ENSG00000054356.14_6,PTPRN
ENSG00000054392.13_5,HHAT
ENSG00000054523.17_4,KIF1B
ENSG00000054598.9_6,FOXC1
ENSG00000054611.14_4,TBC1D22A
ENSG00000054654.17_7,SYNE2
ENSG00000054690.14_5,PLEKHH1
ENSG00000054793.14_6,ATP9A
ENSG00000054796.13_4,SPO11
ENSG00000054803.4_4,CBLN4
ENSG00000054938.15_7,CHRDL2
